code,multiplier,statVar,svobsUnit
TP_N_2080,1,wto/TP_N_2080,
TP_N_2090,1,wto/TP_N_2090,
TP_N_2100,1,wto/TP_N_2100,
TP_N_2110,1,wto/TP_N_2110,
TP_N_2120,1,wto/TP_N_2120,
TP_N_2130,1,wto/TP_N_2130,
TP_N_2140,1,wto/TP_N_2140,
TP_N_2150,1,wto/TP_N_2150,
TP_N_2160,1,wto/TP_N_2160,
TP_N_2170,1,wto/TP_N_2170,
TP_N_2180,1,wto/TP_N_2180,
TP_N_2190,1,wto/TP_N_2190,
TP_N_2200,1,wto/TP_N_2200,
TP_N_3010,1,wto/TP_N_3010,
TP_N_3020,1,wto/TP_N_3020,
TP_N_3030,1,wto/TP_N_3030,
TP_N_3040,1,wto/TP_N_3040,
TP_N_3050,1,wto/TP_N_3050,
TP_N_3060,1,wto/TP_N_3060,
TP_N_3070,1,wto/TP_N_3070,
TP_N_3080,1,wto/TP_N_3080,
TP_N_4010,1,wto/TP_N_4010,
TP_N_4020,1,wto/TP_N_4020,
ITS_MTV_AX,1000000,wto/ITS_MTV_AX,USDollar
ITS_MTV_AM,1000000,wto/ITS_MTV_AM,USDollar
ITS_MTV_QX,1000000,wto/ITS_MTV_QX,USDollar
ITS_MTV_QM,1000000,wto/ITS_MTV_QM,USDollar
ITS_MTV_MX,1000000,wto/ITS_MTV_MX,USDollar
ITS_MTV_MM,1000000,wto/ITS_MTV_MM,USDollar
ITS_MTP_AX,1,wto/ITS_MTP_AX,
ITS_MTP_AM,1,wto/ITS_MTP_AM,
ITS_MTP_AXV,1,wto/ITS_MTP_AXV,
ITS_MTP_AMV,1,wto/ITS_MTP_AMV,
ITS_MTP_AUVX,1,wto/ITS_MTP_AUVX,
ITS_MTP_AUVM,1,wto/ITS_MTP_AUVM,
ITS_MTP_AXF,1,wto/ITS_MTP_AXF,
ITS_MTP_AMF,1,wto/ITS_MTP_AMF,
ITS_MTP_AXVF,1,wto/ITS_MTP_AXVF,
ITS_MTP_AMVF,1,wto/ITS_MTP_AMVF,
ITS_MTP_AUVXF,1,wto/ITS_MTP_AUVXF,
ITS_MTP_AUVMF,1,wto/ITS_MTP_AUVMF,
ITS_MTP_AXVG,1,wto/ITS_MTP_AXVG,
ITS_MTP_AMVG,1,wto/ITS_MTP_AMVG,
ITS_MTP_QXV,1,wto/ITS_MTP_QXV,
ITS_MTP_QMV,1,wto/ITS_MTP_QMV,
ITS_MTP_QXVSA,1,wto/ITS_MTP_QXVSA,
ITS_MTP_QMVSA,1,wto/ITS_MTP_QMVSA,
ITS_MTP_MXP,1,wto/ITS_MTP_MXP,
ITS_MTP_MMP,1,wto/ITS_MTP_MMP,
ITS_MTP_MXPM,1,wto/ITS_MTP_MXPM,
ITS_MTP_MMPM,1,wto/ITS_MTP_MMPM,
ITS_CS_AX6,1000000,wto/ITS_CS_AX6,USDollar
ITS_CS_AM6,1000000,wto/ITS_CS_AM6,USDollar
ITS_CS_AX5,1000000,wto/ITS_CS_AX5,USDollar
ITS_CS_AM5,1000000,wto/ITS_CS_AM5,USDollar
ITS_CS_QX,1000000,wto/ITS_CS_QX,USDollar
ITS_CS_QM,1000000,wto/ITS_CS_QM,USDollar
ITS_CS_MX,1000000,wto/ITS_CS_MX,USDollar
ITS_CS_MM,1000000,wto/ITS_CS_MM,USDollar
ITS_CS_MX_GR,1,wto/ITS_CS_MX_GR,
ITS_CS_MM_GR,1,wto/ITS_CS_MM_GR,
SER_FA_TUR_I,1000000,wto/SER_FA_TUR_I,USDollar
SER_FA_TUR_O,1000000,wto/SER_FA_TUR_O,USDollar
SER_FA_NE_I,1,wto/SER_FA_NE_I,
SER_FA_NE_O,1,wto/SER_FA_NE_O,
SER_FA_EMP_I,1000,wto/SER_FA_EMP_I,
SER_FA_EMP_O,1000,wto/SER_FA_EMP_O,
BAT_BV_X,1000000,wto/BAT_BV_X,USDollar
BAT_BV_M,1000000,wto/BAT_BV_M,USDollar
